# cam @ 0x815a9224
t	mode	ratio	E	aCnt	eCnt	dCnt	dLast	cCnt	cLast	posTy	u18y	eyeY	atY
  11.34	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  11.40	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  11.45	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  11.51	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  11.56	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  11.61	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  11.66	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  11.72	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  11.78	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  11.83	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  11.88	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  11.94	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  11.99	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  12.05	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  12.10	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  12.16	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  12.21	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  12.27	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  12.32	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  12.38	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  12.43	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  12.48	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  12.53	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  12.58	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  12.64	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  12.69	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  12.75	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  12.80	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  12.85	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  12.90	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  12.96	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  13.01	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  13.07	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  13.12	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  13.17	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  13.23	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  13.28	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  13.33	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  13.39	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  13.44	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  13.49	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  13.54	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  13.60	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  13.65	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  13.71	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  13.76	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  13.82	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  13.87	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  13.92	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  13.97	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  14.03	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  14.08	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  14.14	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  14.19	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  14.24	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  14.30	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  14.35	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  14.41	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  14.46	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  14.52	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  14.57	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  14.62	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  14.68	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  14.73	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
