class,kind,usa_addr,enclosing_func,func_name,note
SUSPECT,setFrameRate,0x800c89d8,0x800c8958,,raw rate <- constant 900 (4x fast at 120fps)  [r2-0x5ff0=0x80410b90]
SUSPECT,setFrameRate,0x800c8a34,0x800c8958,,raw rate <- constant 900 (4x fast at 120fps)  [r2-0x5ff0=0x80410b90]
SUSPECT,setFrameRate,0x800c8fe8,0x800c8f7c,,raw rate <- constant 900 (4x fast at 120fps)  [r2-0x5ff0=0x80410b90]
SUSPECT,setFrameRate,0x800c9004,0x800c8f7c,,raw rate <- constant 900 (4x fast at 120fps)  [r2-0x5ff0=0x80410b90]
SUSPECT,setFrameRate,0x800c9190,0x800c8f7c,,raw rate <- constant 900 (4x fast at 120fps)  [r2-0x5ff0=0x80410b90]
SUSPECT,setFrameRate,0x800cdd1c,0x800cdb70,,raw rate <- constant 1.89887e+28 (4x fast at 120fps)  [r2-0x5f80=0x80410c00]
SUSPECT,getFrameCtrl+stfs,0x800d50c8,0x800d4b64,,raw rate <- constant 10000 (4x fast at 120fps)  [r2-0x5dd4=0x80410dac]
SUSPECT,getFrameCtrl+stfs,0x800d50dc,0x800d4b64,,raw rate <- constant 10000 (4x fast at 120fps)  [r2-0x5dd4=0x80410dac]
SUSPECT,setFrameRate,0x800d6c30,0x800d6a70,,raw rate <- constant 4.25404e+24 (4x fast at 120fps)  [r2-0x5e40=0x80410d40]
SUSPECT,setFrameRate,0x800d74bc,0x800d73b4,,raw rate <- constant 4.25404e+24 (4x fast at 120fps)  [r2-0x5e40=0x80410d40]
SUSPECT,setFrameRate,0x800e0870,0x800e05cc,,raw rate <- constant 360 (4x fast at 120fps)  [r2-0x5c40=0x80410f40]
SUSPECT,setFrameRate,0x800e2600,0x800e2438,,raw rate <- constant 360 (4x fast at 120fps)  [r2-0x5c40=0x80410f40]
SUSPECT,setFrameRate,0x800e5e74,0x800e5e18,,raw rate <- constant 1.2 (4x fast at 120fps)  [r2-0x5ba0=0x80410fe0]
SUSPECT,getFrameCtrl+stfs,0x800e66c0,0x800e65ac,,raw rate <- constant 1.2 (4x fast at 120fps)  [r2-0x5ba0=0x80410fe0]
SUSPECT,setFrameRate,0x800e66c8,0x800e65ac,,raw rate <- constant 1.2 (4x fast at 120fps)  [r2-0x5ba0=0x80410fe0]
SUSPECT,setFrameRate,0x800e68c8,0x800e6870,,raw rate <- constant 1.2 (4x fast at 120fps)  [r2-0x5ba0=0x80410fe0]
SUSPECT,getFrameCtrl+stfs,0x800e6904,0x800e6870,,raw rate <- constant 1.2 (4x fast at 120fps)  [r2-0x5ba0=0x80410fe0]
SUSPECT,setFrameRate,0x800e6914,0x800e6870,,raw rate <- constant 1.2 (4x fast at 120fps)  [r2-0x5ba0=0x80410fe0]
SUSPECT,getFrameCtrl+stfs,0x800e8b7c,0x800e8898,,raw rate <- constant 20 (4x fast at 120fps)  [r2-0x5b2c=0x80411054]
SUSPECT,getFrameCtrl+stfs,0x800f3130,0x800f3004,,raw rate <- constant 2.39882e+11 (4x fast at 120fps)  [r2-0x5900=0x80411280]
SUSPECT,getFrameCtrl+stfs,0x800f32c8,0x800f319c,,raw rate <- constant 2.39882e+11 (4x fast at 120fps)  [r2-0x5900=0x80411280]
SUSPECT,getFrameCtrl+stfs,0x800f3380,0x800f319c,,raw rate <- constant 2.39882e+11 (4x fast at 120fps)  [r2-0x5900=0x80411280]
SUSPECT,getFrameCtrl+stfs,0x8010e62c,0x8010e5f4,,raw rate <- constant 2 (4x fast at 120fps)  [r2-0x54b0=0x804116d0]
