class,kind,call,file,line,enclosing,jp_sym,jp_addr,jp_size,reason,code
REVIEW,anm-use,SMSGetAnmFrameRate,Enemy/bosseel.cpp,903,TBossEelTooth::perform,perform__13TBossEelToothFUlPQ26JDrama9TGraphics,0x802e8b84,0x610,"...<<>>SMSGetAnmFrameRate(), 0);...","SMSGetAnmFrameRate(), 0);"
REVIEW,anm-use,SMSGetAnmFrameRate,System/Application.cpp,92,SMSGetVSyncTimesPerSec,SMSGetVSyncTimesPerSec__Fv,0x800fb64c,0x68,...f32 <<>>SMSGetAnmFrameRate() { return 60...,f32 SMSGetAnmFrameRate() { return 60.0f / SMSGetVSyncTimesPerSec(); }
CLEAN,setter,setRate,Camera/lensglow.cpp,82,TLensGlow,,,,flows through SMSGetAnmFrameRate,unk1C.setRate(SMSGetAnmFrameRate());
CLEAN,anm-use,SMSGetAnmFrameRate,Camera/lensglow.cpp,82,TLensGlow,,,,feeds rate setter (playback),unk1C.setRate(SMSGetAnmFrameRate());
CLEAN,setter,setRate,Camera/lensglow.cpp,86,TLensGlow,,,,flows through SMSGetAnmFrameRate,unk34.setRate(SMSGetAnmFrameRate());
CLEAN,anm-use,SMSGetAnmFrameRate,Camera/lensglow.cpp,86,TLensGlow,,,,feeds rate setter (playback),unk34.setRate(SMSGetAnmFrameRate());
CLEAN,setter,setRate,Camera/sunmodel.cpp,108,TSunModel::load,load__9TSunModelFR20JSUMemoryInputStream,0x8035eca0,0x350,flows through SMSGetAnmFrameRate,unk50.setRate(SMSGetAnmFrameRate());
CLEAN,anm-use,SMSGetAnmFrameRate,Camera/sunmodel.cpp,108,TSunModel::load,load__9TSunModelFR20JSUMemoryInputStream,0x8035eca0,0x350,feeds rate setter (playback),unk50.setRate(SMSGetAnmFrameRate());
CLEAN,setter,setRate,Enemy/Amenbo.cpp,289,TAmenbo::changeBck,changeBck__10THinokuri2Fi,0x8026fc2c,0x21c,flows through SMSGetAnmFrameRate,mMActor->getFrameCtrl(0)->setRate(SMSGetAnmFrameRate() * param_2);
CLEAN,anm-use,SMSGetAnmFrameRate,Enemy/Amenbo.cpp,289,TAmenbo::changeBck,changeBck__10THinokuri2Fi,0x8026fc2c,0x21c,feeds rate setter (playback),mMActor->getFrameCtrl(0)->setRate(SMSGetAnmFrameRate() * param_2);
