severity,provenance,func_addr,space,func_name,site_addr_or_loc,detail
CONSTANT,BINARY,0x800e65ac,USA,0x800e65ac,0x800e66c8,raw rate <- constant 1.2 (4x fast at 120fps)  [r2-0x5ba0=0x80410fe0]
CONSTANT,BINARY,0x800f319c,USA,0x800f319c,0x800f32c8,raw rate <- constant 2.39882e+11 (4x fast at 120fps)  [r2-0x5900=0x80411280]
CONSTANT,BINARY,0x800f319c,USA,0x800f319c,0x800f3380,raw rate <- constant 2.39882e+11 (4x fast at 120fps)  [r2-0x5900=0x80411280]
CONSTANT,BINARY,0x801b0738,USA,0x801b0738,0x801b07c4,raw rate <- constant 7.00716e+22 (4x fast at 120fps)  [r2-0x3e28=0x80412d58]
CONSTANT,BINARY,0x801b0738,USA,0x801b0738,0x801b07dc,raw rate <- constant 7.00716e+22 (4x fast at 120fps)  [r2-0x3e28=0x80412d58]
CONSTANT,BINARY,0x801b09d4,USA,0x801b09d4,0x801b0ac8,raw rate <- constant 7.00716e+22 (4x fast at 120fps)  [r2-0x3e28=0x80412d58]
CONSTANT,BINARY,0x801b09d4,USA,0x801b09d4,0x801b0ae0,raw rate <- constant 7.00716e+22 (4x fast at 120fps)  [r2-0x3e28=0x80412d58]
CONSTANT,BINARY,0x801bc898,USA,0x801bc898,0x801bc920,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x2bb0=0x80413fd0]
CONSTANT,BINARY,0x801bc898,USA,0x801bc898,0x801bc9d4,raw rate <- constant 30 (4x fast at 120fps)  [r2-0x2ba8=0x80413fd8]
CONSTANT,BINARY,0x8021a118,USA,0x8021a118,0x8021a2bc,raw rate <- constant 1.81792e+31 (4x fast at 120fps)  [r2-0x18e8=0x80415298]
CONSTANT,BINARY,0x8021a118,USA,0x8021a118,0x8021a314,raw rate <- constant 1.81792e+31 (4x fast at 120fps)  [r2-0x18e8=0x80415298]
CONSTANT,BINARY,0x80246578,USA,0x80246578,0x802472a8,raw rate <- constant nan (4x fast at 120fps)  [r2-0x110c=0x80415a74]
CONSTANT,BINARY,0x80246578,USA,0x80246578,0x802473a8,raw rate <- constant nan (4x fast at 120fps)  [r2-0x110c=0x80415a74]
CONSTANT,BINARY,0x80270b00,USA,0x80270b00,0x802710fc,raw rate <- constant 0.00549316 (4x fast at 120fps)  [r2-0xb30=0x80416050]
CONSTANT,BINARY,0x80270b00,USA,0x80270b00,0x8027110c,raw rate <- constant 0.00549316 (4x fast at 120fps)  [r2-0xb30=0x80416050]
CONSTANT,BINARY,0x80047104,USA,0x80047104,0x80047430,raw rate <- constant -90 (4x fast at 120fps)  [r2-0x6fd0=0x8040fbb0]
CONSTANT,BINARY,0x8004a494,USA,0x8004a494,0x8004a4cc,raw rate <- constant -90 (4x fast at 120fps)  [r2-0x6fd0=0x8040fbb0]
CONSTANT,BINARY,0x8007d518,USA,0x8007d518,0x8007d690,raw rate <- constant 1900 (4x fast at 120fps)  [r2-0x699c=0x804101e4]
CONSTANT,BINARY,0x800826d8,USA,0x800826d8,0x800828ec,raw rate <- constant 720 (4x fast at 120fps)  [r2-0x68e8=0x80410298]
CONSTANT,BINARY,0x80082944,USA,0x80082944,0x80082bcc,raw rate <- constant 720 (4x fast at 120fps)  [r2-0x68e8=0x80410298]
CONSTANT,BINARY,0x800a5db8,USA,0x800a5db8,0x800a5df4,raw rate <- constant 3.05176e-05 (4x fast at 120fps)  [r2-0x64d0=0x804106b0]
CONSTANT,BINARY,0x800b3410,USA,0x800b3410,0x800b3448,raw rate <- constant 2000 (4x fast at 120fps)  [r2-0x62b0=0x804108d0]
CONSTANT,BINARY,0x800b5174,USA,0x800b5174,0x800b51ac,raw rate <- constant 2000 (4x fast at 120fps)  [r2-0x62b0=0x804108d0]
CONSTANT,BINARY,0x800b69d4,USA,0x800b69d4,0x800b6a54,raw rate <- constant 0.7 (4x fast at 120fps)  [r2-0x61ec=0x80410994]
CONSTANT,BINARY,0x800b6dfc,USA,0x800b6dfc,0x800b6f88,raw rate <- constant 50 (4x fast at 120fps)  [r2-0x61e8=0x80410998]
CONSTANT,BINARY,0x800badb4,USA,0x800badb4,0x800bae24,raw rate <- constant -2 (4x fast at 120fps)  [r2-0x61b8=0x804109c8]
CONSTANT,BINARY,0x800bd8f8,USA,0x800bd8f8,0x800bd954,raw rate <- constant 50 (4x fast at 120fps)  [r2-0x6130=0x80410a50]
CONSTANT,BINARY,0x800cdb70,USA,0x800cdb70,0x800cdd1c,raw rate <- constant 1.89887e+28 (4x fast at 120fps)  [r2-0x5f80=0x80410c00]
CONSTANT,BINARY,0x800d6a70,USA,0x800d6a70,0x800d6c30,raw rate <- constant 4.25404e+24 (4x fast at 120fps)  [r2-0x5e40=0x80410d40]
CONSTANT,BINARY,0x800d73b4,USA,0x800d73b4,0x800d74bc,raw rate <- constant 4.25404e+24 (4x fast at 120fps)  [r2-0x5e40=0x80410d40]
CONSTANT,BINARY,0x800e05cc,USA,0x800e05cc,0x800e0870,raw rate <- constant 360 (4x fast at 120fps)  [r2-0x5c40=0x80410f40]
CONSTANT,BINARY,0x800e2438,USA,0x800e2438,0x800e2600,raw rate <- constant 360 (4x fast at 120fps)  [r2-0x5c40=0x80410f40]
CONSTANT,BINARY,0x800e5e18,USA,0x800e5e18,0x800e5e74,raw rate <- constant 1.2 (4x fast at 120fps)  [r2-0x5ba0=0x80410fe0]
CONSTANT,BINARY,0x800f3004,USA,0x800f3004,0x800f3130,raw rate <- constant 2.39882e+11 (4x fast at 120fps)  [r2-0x5900=0x80411280]
CONSTANT,BINARY,0x8010e5f4,USA,0x8010e5f4,0x8010e62c,raw rate <- constant 2 (4x fast at 120fps)  [r2-0x54b0=0x804116d0]
CONSTANT,BINARY,0x80117780,USA,0x80117780,0x801177ec,raw rate <- constant 97.5 (4x fast at 120fps)  [r2-0x52c0=0x804118c0]
CONSTANT,BINARY,0x8012cffc,USA,0x8012cffc,0x8012d034,raw rate <- constant 4.23226e+21 (4x fast at 120fps)  [r2-0x501c=0x80411b64]
CONSTANT,BINARY,0x8013c664,USA,0x8013c664,0x8013c6cc,raw rate <- constant 176 (4x fast at 120fps)  [r2-0x4d90=0x80411df0]
CONSTANT,BINARY,0x8013c91c,USA,0x8013c91c,0x8013c980,raw rate <- constant 176 (4x fast at 120fps)  [r2-0x4d90=0x80411df0]
CONSTANT,BINARY,0x801b0bf8,USA,0x801b0bf8,0x801b0c58,raw rate <- constant 7.00716e+22 (4x fast at 120fps)  [r2-0x3e28=0x80412d58]
CONSTANT,BINARY,0x801c1bc0,USA,0x801c1bc0,0x801c1be8,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x2b20=0x80414060]
CONSTANT,BINARY,0x801cd40c,USA,0x801cd40c,0x801cd4e8,raw rate <- constant 400 (4x fast at 120fps)  [r2-0x28d0=0x804142b0]
CONSTANT,BINARY,0x801ec048,USA,0x801ec048,0x801ec224,raw rate <- constant 1 (4x fast at 120fps)  [r2-0x2294=0x804148ec]
CONSTANT,BINARY,0x801fb988,USA,0x801fb988,0x801fbc5c,raw rate <- constant 200 (4x fast at 120fps)  [r2-0x1fb8=0x80414bc8]
CONSTANT,BINARY,0x8027097c,USA,0x8027097c,0x80270a0c,raw rate <- constant 0.00549316 (4x fast at 120fps)  [r2-0xb30=0x80416050]
CONSTANT,BINARY,0x80284db8,USA,0x80284db8,0x80284ec0,raw rate <- constant 30 (4x fast at 120fps)  [r2-0x6c0=0x804164c0]
CONSTANT,SOURCE,0x80147f4c,JP,TYoshi::init,Player/Yoshi.cpp:145,raw literal rate 1.0f (4x fast at 120fps)
CONSTANT,SOURCE,0x80147f4c,JP,TYoshi::init,Player/Yoshi.cpp:147,raw literal rate 0.5f (4x fast at 120fps)
CONSTANT,SOURCE,0x80147f4c,JP,TYoshi::init,Player/Yoshi.cpp:192,raw literal rate 0.5f (4x fast at 120fps)
CONSTANT,SOURCE,0x80147f4c,JP,TYoshi::init,Player/Yoshi.cpp:193,raw literal rate 0.5f (4x fast at 120fps)
CONSTANT,SOURCE,0x80247440,JP,TBalloonControl::setupAnm,GC2D/Option.cpp:176,raw literal rate 1.0f (4x fast at 120fps)
CONSTANT,SOURCE,0x80247440,JP,TBalloonControl::setupAnm,GC2D/Option.cpp:179,raw literal rate 1.0f (4x fast at 120fps)
CONSTANT,SOURCE,0x8011f738,JP,TMario::toroccoStart,Player/MarioAutodemo.cpp:354,raw literal rate 0.5f (4x fast at 120fps)
CONSTANT,SOURCE,0x8011f738,JP,TMario::toroccoStart,Player/MarioAutodemo.cpp:360,raw literal rate 0.5f (4x fast at 120fps)
CONSTANT,SOURCE,0x8012582c,JP,TMario::initModel,Player/MarioDraw.cpp:1348,raw literal rate 0.5f (4x fast at 120fps)
CONSTANT,SOURCE,0x8012582c,JP,TMario::initModel,Player/MarioDraw.cpp:1373,raw literal rate 0.5f (4x fast at 120fps)
CONSTANT,SOURCE,0x80124238,JP,TMario::setUpperDamageRun,Player/MarioDraw.cpp:1851,raw literal rate 1.0f (4x fast at 120fps)
CONSTANT,SOURCE,0x80124238,JP,TMario::setUpperDamageRun,Player/MarioDraw.cpp:1852,raw literal rate 0.5f (4x fast at 120fps)
CONSTANT,SOURCE,0x8014ef78,JP,TYoshi::thinkUpper,Player/Yoshi.cpp:646,raw literal rate 1.0f (4x fast at 120fps)
CONSTANT,SOURCE,0x8014ef78,JP,TYoshi::thinkUpper,Player/Yoshi.cpp:657,raw literal rate 1.0f (4x fast at 120fps)
CONSTANT,SOURCE,0x802884c0,JP,TBossGessoManager::load,Enemy/bossgesso.cpp:1597,raw literal rate 1.0f (4x fast at 120fps)
CONSTANT,SOURCE,0x80247440,JP,TPatternAnmControl::setupAnm,GC2D/Option.cpp:261,raw literal rate 1.0f (4x fast at 120fps)
CONSTANT,SOURCE,,JP,TOptionSoundUnit,GC2D/Option.cpp:531,raw literal rate 1.0f (4x fast at 120fps)
CONSTANT,SOURCE,0x8018880c,JP,TMapObjBase::makeObjAppeared,MoveBG/MapObjBase.cpp:341,raw literal rate 1.0f (4x fast at 120fps)
CONSTANT,SOURCE,0x80164248,JP,TMario::getGesso,Player/MarioReceiveMsg.cpp:62,raw literal rate 0.5f (4x fast at 120fps)
CONSTANT,SOURCE,0x8014fcd8,JP,TYoshi::thinkBtp,Player/Yoshi.cpp:286,raw literal rate 0.5f (4x fast at 120fps)
CONSTANT,SOURCE,0x800efc08,JP,TMarDirector::setup2,System/MarDirectorSetup2.cpp:68,raw literal rate 120.0f (4x fast at 120fps)
REVIEW,BINARY,0x801c216c,USA,0x801c216c,0x801c2204,"computed rate (fadds f31,f1); AnmFrameRate in block — verify scaling/rate²"
REVIEW,BINARY,0x801c216c,USA,0x801c216c,0x801c22b8,"computed rate (fadds f31,f1); AnmFrameRate in block — verify scaling/rate²"
REVIEW,BINARY,0x802123e0,USA,0x802123e0,0x80212520,rate f31 source not resolved in block
REVIEW,BINARY,0x802123e0,USA,0x802123e0,0x80212530,rate f31 source not resolved in block
REVIEW,BINARY,0x8000af8c,USA,0x8000af8c,0x8000aff0,"computed rate (fmuls f1,f0); AnmFrameRate in block — verify scaling/rate²"
REVIEW,BINARY,0x8000bb7c,USA,0x8000bb7c,0x8000bbf0,"computed rate (fmuls f1,f0); AnmFrameRate in block — verify scaling/rate²"
REVIEW,BINARY,0x8004ef94,USA,0x8004ef94,0x8004f028,"computed rate (fadds f1,f0); AnmFrameRate in block — verify scaling/rate²"
REVIEW,BINARY,0x80097ba8,USA,0x80097ba8,0x80098050,rate f31 source not resolved in block
REVIEW,BINARY,0x800f2144,USA,0x800f2144,0x800f2768,rate f31 source not resolved in block
REVIEW,BINARY,0x801c9734,USA,0x801c9734,0x801c9940,"computed rate (fmuls f1,f0); AnmFrameRate in block — verify scaling/rate²"
REVIEW,BINARY,0x801d4068,USA,0x801d4068,0x801d412c,"computed rate (fmuls f1,f0); AnmFrameRate in block — verify scaling/rate²"
REVIEW,BINARY,0x802064b0,USA,0x802064b0,0x80206830,rate f1 source not resolved in block
REVIEW,SOURCE,0x800fb64c,JP,SMSGetVSyncTimesPerSec,System/Application.cpp:92,...f32 <<>>SMSGetAnmFrameRate() { return 60...
